Year,Region,variable,value
1900-01-01,Western Africa,No Injured,0.0
1900-01-01,Southern Asia,No Injured,0.0
1900-01-01,Central America,No Injured,0.0
1900-01-01,Northern America,No Injured,0.0
1900-01-01,Eastern Africa,No Injured,0.0
1900-01-01,South America,No Injured,0.0
1900-01-01,Western Europe,No Injured,0.0
1900-01-01,Eastern Asia,No Injured,0.0
1900-01-01,Caribbean,No Injured,0.0
1900-01-01,South-Eastern Asia,No Injured,0.0
1900-01-01,Northern Africa,No Injured,0.0
1900-01-01,Eastern Europe,No Injured,0.0
1900-01-01,Southern Europe,No Injured,0.0
1900-01-01,Melanesia,No Injured,0.0
1900-01-01,Australia and New Zealand,No Injured,0.0
1900-01-01,Polynesia,No Injured,0.0
1900-01-01,Northern Europe,No Injured,0.0
1900-01-01,Western Asia,No Injured,0.0
1900-01-01,Micronesia,No Injured,0.0
1900-01-01,Southern Africa,No Injured,0.0
1900-01-01,Middle Africa,No Injured,0.0
1900-01-01,Russian Federation,No Injured,0.0
1900-01-01,Central Asia,No Injured,0.0
1902-01-01,Western Africa,No Injured,0.0
1902-01-01,Southern Asia,No Injured,0.0
1902-01-01,Central America,No Injured,0.0
1902-01-01,Northern America,No Injured,0.0
1902-01-01,Eastern Africa,No Injured,0.0
1902-01-01,South America,No Injured,0.0
1902-01-01,Western Europe,No Injured,0.0
1902-01-01,Eastern Asia,No Injured,0.0
1902-01-01,Caribbean,No Injured,0.0
1902-01-01,South-Eastern Asia,No Injured,0.0
1902-01-01,Northern Africa,No Injured,0.0
1902-01-01,Eastern Europe,No Injured,0.0
1902-01-01,Southern Europe,No Injured,0.0
1902-01-01,Melanesia,No Injured,0.0
1902-01-01,Australia and New Zealand,No Injured,0.0
1902-01-01,Polynesia,No Injured,0.0
1902-01-01,Northern Europe,No Injured,0.0
1902-01-01,Western Asia,No Injured,60.0
1902-01-01,Micronesia,No Injured,0.0
1902-01-01,Southern Africa,No Injured,0.0
1902-01-01,Middle Africa,No Injured,0.0
1902-01-01,Russian Federation,No Injured,0.0
1902-01-01,Central Asia,No Injured,0.0
1903-01-01,Western Africa,No Injured,0.0
1903-01-01,Southern Asia,No Injured,0.0
1903-01-01,Central America,No Injured,0.0
1903-01-01,Northern America,No Injured,23.0
1903-01-01,Eastern Africa,No Injured,0.0
1903-01-01,South America,No Injured,0.0
1903-01-01,Western Europe,No Injured,0.0
1903-01-01,Eastern Asia,No Injured,0.0
1903-01-01,Caribbean,No Injured,0.0
1903-01-01,South-Eastern Asia,No Injured,0.0
1903-01-01,Northern Africa,No Injured,0.0
1903-01-01,Eastern Europe,No Injured,0.0
1903-01-01,Southern Europe,No Injured,0.0
1903-01-01,Melanesia,No Injured,0.0
1903-01-01,Australia and New Zealand,No Injured,0.0
1903-01-01,Polynesia,No Injured,0.0
1903-01-01,Northern Europe,No Injured,0.0
1903-01-01,Western Asia,No Injured,0.0
1903-01-01,Micronesia,No Injured,0.0
1903-01-01,Southern Africa,No Injured,0.0
1903-01-01,Middle Africa,No Injured,0.0
1903-01-01,Russian Federation,No Injured,0.0
1903-01-01,Central Asia,No Injured,0.0
1904-01-01,Western Africa,No Injured,0.0
1904-01-01,Southern Asia,No Injured,0.0
1904-01-01,Central America,No Injured,0.0
1904-01-01,Northern America,No Injured,0.0
1904-01-01,Eastern Africa,No Injured,0.0
1904-01-01,South America,No Injured,0.0
1904-01-01,Western Europe,No Injured,0.0
1904-01-01,Eastern Asia,No Injured,168.0
1904-01-01,Caribbean,No Injured,0.0
1904-01-01,South-Eastern Asia,No Injured,0.0
1904-01-01,Northern Africa,No Injured,0.0
1904-01-01,Eastern Europe,No Injured,0.0
1904-01-01,Southern Europe,No Injured,0.0
1904-01-01,Melanesia,No Injured,0.0
1904-01-01,Australia and New Zealand,No Injured,0.0
1904-01-01,Polynesia,No Injured,0.0
1904-01-01,Northern Europe,No Injured,0.0
1904-01-01,Western Asia,No Injured,0.0
1904-01-01,Micronesia,No Injured,0.0
1904-01-01,Southern Africa,No Injured,0.0
1904-01-01,Middle Africa,No Injured,0.0
1904-01-01,Russian Federation,No Injured,0.0
1904-01-01,Central Asia,No Injured,0.0
1905-01-01,Western Africa,No Injured,0.0
1905-01-01,Southern Asia,No Injured,0.0
1905-01-01,Central America,No Injured,0.0
1905-01-01,Northern America,No Injured,18.0
1905-01-01,Eastern Africa,No Injured,0.0
1905-01-01,South America,No Injured,0.0
1905-01-01,Western Europe,No Injured,0.0
1905-01-01,Eastern Asia,No Injured,0.0
1905-01-01,Caribbean,No Injured,0.0
1905-01-01,South-Eastern Asia,No Injured,0.0
1905-01-01,Northern Africa,No Injured,0.0
1905-01-01,Eastern Europe,No Injured,0.0
1905-01-01,Southern Europe,No Injured,2000.0
1905-01-01,Melanesia,No Injured,0.0
1905-01-01,Australia and New Zealand,No Injured,0.0
1905-01-01,Polynesia,No Injured,0.0
1905-01-01,Northern Europe,No Injured,0.0
1905-01-01,Western Asia,No Injured,0.0
1905-01-01,Micronesia,No Injured,0.0
1905-01-01,Southern Africa,No Injured,0.0
1905-01-01,Middle Africa,No Injured,0.0
1905-01-01,Russian Federation,No Injured,0.0
1905-01-01,Central Asia,No Injured,0.0
1906-01-01,Western Africa,No Injured,0.0
1906-01-01,Southern Asia,No Injured,0.0
1906-01-01,Central America,No Injured,0.0
1906-01-01,Northern America,No Injured,0.0
1906-01-01,Eastern Africa,No Injured,0.0
1906-01-01,South America,No Injured,0.0
1906-01-01,Western Europe,No Injured,0.0
1906-01-01,Eastern Asia,No Injured,229.0
1906-01-01,Caribbean,No Injured,0.0
1906-01-01,South-Eastern Asia,No Injured,0.0
1906-01-01,Northern Africa,No Injured,0.0
1906-01-01,Eastern Europe,No Injured,0.0
1906-01-01,Southern Europe,No Injured,0.0
1906-01-01,Melanesia,No Injured,0.0
1906-01-01,Australia and New Zealand,No Injured,0.0
1906-01-01,Polynesia,No Injured,0.0
1906-01-01,Northern Europe,No Injured,0.0
1906-01-01,Western Asia,No Injured,0.0
1906-01-01,Micronesia,No Injured,0.0
1906-01-01,Southern Africa,No Injured,0.0
1906-01-01,Middle Africa,No Injured,0.0
1906-01-01,Russian Federation,No Injured,0.0
1906-01-01,Central Asia,No Injured,0.0
1907-01-01,Western Africa,No Injured,0.0
1907-01-01,Southern Asia,No Injured,0.0
1907-01-01,Central America,No Injured,0.0
1907-01-01,Northern America,No Injured,0.0
1907-01-01,Eastern Africa,No Injured,0.0
1907-01-01,South America,No Injured,0.0
1907-01-01,Western Europe,No Injured,0.0
1907-01-01,Eastern Asia,No Injured,0.0
1907-01-01,Caribbean,No Injured,0.0
1907-01-01,South-Eastern Asia,No Injured,0.0
1907-01-01,Northern Africa,No Injured,0.0
1907-01-01,Eastern Europe,No Injured,0.0
1907-01-01,Southern Europe,No Injured,0.0
1907-01-01,Melanesia,No Injured,0.0
1907-01-01,Australia and New Zealand,No Injured,0.0
1907-01-01,Polynesia,No Injured,0.0
1907-01-01,Northern Europe,No Injured,0.0
1907-01-01,Western Asia,No Injured,0.0
1907-01-01,Micronesia,No Injured,0.0
1907-01-01,Southern Africa,No Injured,0.0
1907-01-01,Middle Africa,No Injured,0.0
1907-01-01,Russian Federation,No Injured,0.0
1907-01-01,Central Asia,No Injured,0.0
1908-01-01,Western Africa,No Injured,0.0
1908-01-01,Southern Asia,No Injured,0.0
1908-01-01,Central America,No Injured,0.0
1908-01-01,Northern America,No Injured,0.0
1908-01-01,Eastern Africa,No Injured,0.0
1908-01-01,South America,No Injured,0.0
1908-01-01,Western Europe,No Injured,0.0
1908-01-01,Eastern Asia,No Injured,0.0
1908-01-01,Caribbean,No Injured,0.0
